wn,1,2,3,4,5,6
3915.29,111.015,15.1384,25.2307,50.4613,111.015,75.692
3914.79,65.5903,10.0908,55.4995,55.4995,45.4087,-25.227
3914.3,30.2681,-5.04468,60.5361,45.4021,30.2681,75.6702
3913.8,95.8351,10.0879,151.319,100.879,10.0879,121.055
3913.31,50.4322,5.04322,40.3458,50.4322,115.994,55.4755
3912.81,60.51,10.085,0,35.2975,25.2125,-20.17
3912.32,-5.04177,0,95.7936,5.04177,80.6683,65.543
3911.82,60.4925,15.1231,20.1642,-20.1642,65.5336,45.3694
3911.32,35.2822,-5.04032,60.4838,40.3225,110.887,40.3225
3910.83,0,-5.03959,-60.4751,115.911,85.673,70.5543
3910.33,0,-5.03886,30.2332,-50.3886,15.1166,70.5441
3909.84,90.6865,25.1907,65.4958,75.5721,141.068,10.0763
3909.34,-25.1871,10.0748,60.4489,10.0748,65.4864,5.03741
3908.84,45.3302,30.2201,120.88,141.027,45.3302,40.2935
3908.35,15.1079,-30.2158,25.1798,25.1798,55.3956,10.0719
3907.85,100.705,0,-30.2114,0,-65.458,10.0705
3907.35,-15.1035,0,60.4141,60.4141,120.828,5.03451
3906.86,30.2027,5.03378,85.5743,85.5743,5.03378,50.3378
3906.36,-10.0661,0,45.2975,65.4297,-15.0992,60.3967
3905.86,-70.4526,-5.03233,50.3233,40.2586,95.6143,-40.2586
3905.37,95.6005,-5.0316,85.5373,100.632,40.2528,35.2212
3904.87,75.4632,-15.0926,5.03088,145.895,0,55.3397
3904.37,80.4824,5.03015,15.0905,65.392,-10.0603,50.3015
3903.88,145.853,10.0589,-50.2943,50.2943,-35.206,100.589
3903.38,20.1148,-20.1148,20.1148,90.5166,-35.2009,95.5453
3902.88,80.4476,10.056,20.1119,155.867,5.02798,95.5316
3902.38,65.3543,10.0545,15.0818,60.327,20.109,-25.1363
3901.89,70.3714,-10.0531,65.3448,-5.02653,30.1592,30.1592
3901.39,-35.1806,10.0516,95.4902,85.4386,50.258,-10.0516
3900.89,-10.0502,15.0752,15.0752,0,115.577,25.1254
3900.39,50.2435,15.0731,40.1948,5.02435,15.0731,10.0487
3899.9,95.4489,15.0709,10.0473,35.1654,50.2363,-30.1418
3899.4,85.3893,15.0687,100.458,90.4122,35.1603,25.1145
3898.9,70.3105,-10.0444,10.0444,5.02218,0,40.1774
3898.4,75.3218,15.0644,35.1502,5.02145,25.1073,10.0429
3897.9,105.435,-5.02073,20.0829,75.3109,70.2902,70.2902
3897.41,110.44,5.02,10.04,60.24,-85.3401,-40.16
3896.91,60.2313,15.0578,20.0771,60.2313,10.0386,0
3896.41,-5.01855,-5.01855,45.167,25.0928,5.01855,65.2412
3895.91,25.0892,0,30.107,45.1605,50.1783,75.2675
3895.41,-25.0855,0,25.0855,105.359,30.1026,-40.1368
3894.92,5.01638,-15.0491,45.1474,15.0491,65.213,30.0983
3894.42,35.1096,0,-25.0783,30.0939,15.047,0
3893.92,40.1195,0,100.299,40.1195,20.0597,-30.0896
3893.42,50.1421,10.0284,75.2132,65.1847,15.0426,15.0426
3892.92,30.0809,10.027,65.1753,100.27,70.1888,-20.0539
3892.42,75.1914,10.0255,20.0511,5.01276,35.0893,55.1404
3891.92,45.1084,10.0241,65.1565,65.1565,55.1324,-40.0963
3891.42,90.2037,-5.01132,0,65.1471,-10.0226,75.1697
3890.93,110.233,15.0318,95.2013,20.0424,30.0636,65.1377
3890.43,50.0987,0,55.1086,40.079,-10.0197,25.0493
3889.93,100.183,15.0274,75.1372,-10.0183,70.128,40.0732
3889.43,25.0421,-5.00842,45.0758,-40.0674,40.0674,20.0337
3888.93,35.0539,0,30.0462,140.216,40.0616,-20.0308
3888.43,60.0837,-10.014,30.0419,-65.0907,55.0767,65.0907
3887.93,40.05,5.00625,60.075,60.075,70.0875,-5.00625
3887.43,15.0166,5.00553,35.0387,15.0166,110.122,-35.0387
3886.93,70.0673,0,-65.0625,60.0577,0,15.0144
3886.43,110.09,5.00409,95.0776,140.114,70.0572,45.0368
3885.93,-5.00336,0,5.00336,20.0135,90.0605,-40.0269
3885.43,25.0132,-10.0053,30.0158,60.0317,-20.0106,15.0079
3884.93,45.0173,20.0077,105.04,125.048,15.0058,80.0307
3884.43,70.0167,5.0012,-40.0096,10.0024,60.0143,95.0227
3883.93,65.0061,-5.00047,85.008,65.0061,30.0028,70.0066
3883.43,-9.9995,-19.999,29.9985,44.9978,24.9988,64.9968
3882.93,64.9874,9.99806,104.98,-24.9951,19.9961,74.9854
3882.43,119.959,9.99661,79.9729,84.9712,34.9881,-19.9932
3881.93,69.9662,4.99758,4.99758,59.971,69.9662,49.9758
3881.43,29.9812,-4.99686,39.9749,79.9498,9.99372,-9.99372
3880.93,39.9691,29.9768,34.973,49.9614,39.9691,54.9575
3880.43,89.9175,19.9817,19.9817,34.9679,0,-44.9588
3879.93,9.98939,9.98939,69.9258,34.9629,24.9735,34.9629
3879.43,109.867,14.9819,4.99398,84.8976,69.9157,19.9759
3878.93,-4.99325,9.98651,89.8786,84.8853,119.838,19.973
3878.43,64.9029,0,59.9104,34.9477,69.8955,-4.99253
3877.93,9.98362,19.9672,29.9509,9.98362,44.9263,39.9345
3877.43,84.8485,4.99109,44.9198,89.8396,-14.9733,-39.9287
3876.93,-19.9615,0,109.788,49.9037,-9.98074,-14.9711
3876.43,44.9068,-4.98965,29.9379,44.9068,-14.9689,104.783
3875.92,64.856,19.9557,-4.98893,-49.8893,104.767,44.9003
3875.42,54.8703,-24.941,-84.7995,114.729,34.9174,19.9528
3874.92,19.9499,24.9374,94.7622,114.712,84.7872,19.9499
3874.42,34.9073,14.9603,-29.9206,-19.9471,74.8014,-9.97353
3873.92,54.8465,0,49.8604,-49.8604,69.8046,54.8465
3873.42,24.9266,4.98532,-34.8973,54.8385,44.8679,24.9266
3872.92,94.7074,24.923,14.9538,4.9846,69.7844,-19.9384
3872.41,44.8549,14.9516,-9.96776,-4.98388,-44.8549,89.7099
3871.91,14.9495,19.9326,79.7306,89.6969,-49.8316,-14.9495
3871.41,39.8595,24.9122,49.8244,109.614,44.842,64.7717
3870.91,59.7806,0,-9.96344,9.96344,34.872,34.872
3870.41,29.886,-4.981,44.829,49.81,54.791,4.981
3869.91,34.862,9.96056,-49.8028,29.8817,-44.8225,54.7831
3869.4,84.6525,0,-4.97956,44.816,-14.9387,4.97956
3868.9,49.7884,4.97884,0,74.6826,19.9154,84.6403
3868.4,-4.97812,9.95624,59.7374,89.6061,64.7155,124.453
3867.9,34.8418,0,-54.7514,29.8644,39.8192,59.7288
