wn,1,2,3,4,5,6
3405.7548,0.30331,0.3042,0.29119,0.30988,0.32634,0.30373
3403.82629,0.30485,0.30572,0.29233,0.31128,0.32822,0.30514
3401.89778,0.30644,0.30723,0.29361,0.31262,0.32993,0.30672
3399.96926,0.30812,0.30875,0.29492,0.31393,0.33146,0.30838
3398.04075,0.30972,0.31025,0.29609,0.31525,0.33289,0.30996
3396.11224,0.31117,0.31163,0.29711,0.31645,0.33426,0.31141
3394.18372,0.31262,0.31296,0.29813,0.31753,0.33573,0.31283
3392.25521,0.31405,0.31441,0.29913,0.3185,0.33723,0.31423
3390.3267,0.31533,0.3159,0.30008,0.31949,0.33868,0.31556
3388.39818,0.31651,0.31722,0.301,0.32056,0.34005,0.31687
3386.46967,0.31775,0.31834,0.30191,0.32162,0.34129,0.31818
3384.54116,0.31899,0.31945,0.30279,0.32259,0.34242,0.31944
3382.61264,0.3201,0.3206,0.3036,0.32348,0.34351,0.3206
3380.68413,0.32109,0.32166,0.30426,0.32435,0.34459,0.32161
3378.75562,0.3221,0.32259,0.30479,0.32529,0.34564,0.32252
3376.8271,0.32319,0.3235,0.30538,0.3262,0.34666,0.32344
3374.89859,0.32424,0.32441,0.30602,0.32692,0.3477,0.32437
3372.97008,0.32513,0.32523,0.30658,0.32754,0.34873,0.32527
3371.04156,0.32596,0.32605,0.30707,0.32827,0.34969,0.32615
3369.11305,0.32683,0.32696,0.30759,0.32905,0.35049,0.32709
3367.18453,0.32773,0.32788,0.30814,0.32963,0.35112,0.32808
3365.25602,0.32853,0.32873,0.30863,0.33001,0.35176,0.32892
3363.32751,0.32925,0.32951,0.30902,0.33042,0.35258,0.32955
3361.39899,0.32991,0.33019,0.30939,0.33086,0.35346,0.33021
3359.47048,0.33048,0.33077,0.30973,0.33134,0.35418,0.33093
3357.54197,0.33108,0.33125,0.30997,0.33187,0.35472,0.33153
3355.61345,0.33171,0.33163,0.31017,0.33229,0.35518,0.332
3353.68494,0.33223,0.33197,0.31041,0.33252,0.3557,0.33246
3351.75643,0.33263,0.33239,0.3107,0.33271,0.3562,0.33286
3349.82791,0.33297,0.33288,0.31089,0.33297,0.35659,0.33316
3347.8994,0.33322,0.33331,0.31089,0.33323,0.35693,0.33338
3345.97089,0.33351,0.33362,0.31079,0.33349,0.35728,0.33369
